,Mean sigx,Mean sigy,Mean sigA,Mean sigB,Trnbl Prms
2x2_2x2,11.714099249338505,2.9718098125153394,44.317815877545534,5.107061910972291,2579.0
2x2_3x3,15.28477052018498,3.6671089561569477,45.60525620403711,3.8529221205284188,1869.0
2x2_4x4,15.458325834329973,3.8303637561443042,46.963880312749424,3.8843469317531003,1883.0
2x2_5x5,15.75169315087169,3.7887511361217032,34.13549731257366,5.21497990657825,1901.0
2x2_6x6,17.585411195215897,3.8302746743199902,43.057534651592434,4.416337235674803,1363.0
2x2_7x7,17.323334001473746,3.9614719191951315,34.51608319662297,5.169025787633913,1389.0
3x3_2x2,11.039940221850227,2.898673297532642,25.027242400451563,6.760987940068219,2579.0
3x3_3x3,12.210799335628804,2.8629511659538216,47.6499302189474,4.001320781115908,1869.0
3x3_4x4,12.442680636924175,2.8110011797242396,48.95563029533136,3.571432375302251,1883.0
3x3_5x5,14.78541940535975,3.4904267539649876,16.181765764879966,9.307117868858114,1901.0
3x3_6x6,16.222542178504867,3.8531295739089884,43.644998212762985,3.9124062749602473,1363.0
3x3_7x7,16.779476938602468,3.744241610620466,35.62079317770644,4.403270430152915,1389.0
