epoch,loss,val_loss
0,37939.37109375,13396.291015625
1,11159.7294921875,8301.189453125
2,5257.3603515625,2075.27490234375
3,-251.2724609375,-2393.2890625
4,-3679.664794921875,-5014.46533203125
5,-5713.6533203125,-6541.07763671875
6,-7250.5205078125,-7503.62060546875
7,-6185.37255859375,-6474.11328125
8,-7296.7080078125,-6682.685546875
9,-8488.423828125,-7839.91015625
10,-8903.802734375,-8482.3564453125
11,-9104.8779296875,-9538.0546875
12,-9590.3955078125,-9818.8837890625
13,-9783.80078125,-9932.396484375
14,-9355.3525390625,-9591.0732421875
15,-9552.470703125,-9984.6982421875
16,-9538.2578125,-7538.90966796875
17,-9601.142578125,-10559.7060546875
18,-9822.849609375,-10352.81640625
19,-10147.455078125,-10795.8349609375
20,-10282.2353515625,-10644.4169921875
21,-10328.5712890625,-10616.451171875
22,-7801.91552734375,-10464.3564453125
23,-10661.87109375,-10900.408203125
24,-10544.26171875,-10870.884765625
25,-10293.712890625,-10981.8291015625
26,-10658.833984375,-9755.1796875
27,-10626.1123046875,-9758.013671875
28,-10757.9775390625,-11080.6142578125
29,-11166.3193359375,-11205.0966796875
30,-11244.150390625,-11444.8681640625
31,-11208.380859375,-11505.76171875
32,-11302.375,-11484.32421875
33,-11472.8994140625,-11775.375
34,-8630.3798828125,-11018.9404296875
35,-11279.0166015625,-11634.3486328125
36,-11425.6552734375,-11478.1962890625
37,-11351.0791015625,-11437.04296875
38,-10315.9208984375,-10565.4482421875
39,-11371.814453125,-11394.087890625
40,-11336.37109375,-9296.478515625
41,-11385.900390625,-12044.1376953125
42,-11030.8671875,-9953.9755859375
43,-11400.8505859375,-11723.224609375
44,-10903.599609375,-11213.4892578125
45,-11513.787109375,-10910.7392578125
46,-11102.3017578125,-11697.587890625
47,-11491.9775390625,-11888.9697265625
48,-11225.4990234375,-11761.853515625
49,-11187.7490234375,-11709.9306640625
50,-11117.9423828125,-11404.9443359375
51,-11307.705078125,-11093.89453125
